so there is no way for me to plug it in here in the us unless i go by a converter,negative
good case excellent value,positive
great for the jawbone,positive
tied to charger for conversations lasting more than minutesmajor problems,negative
the mic is great,positive
i have to jiggle the plug to get it to line up right to get decent volume,negative
if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,negative
if you are razr owneryou must have this,positive
needless to say i wasted my money,negative
what a waste of money and time,negative
and the sound quality is great,positive
he was very impressed when going from the original battery to the extended battery,positive
if the two were seperated by a mere + ft i started to notice excessive static and garbled sound from the headset,negative
very good quality though,positive
the design is very odd as the ear clip is not very comfortable at all,negative
highly recommend for any one who has a blue tooth phone,positive
i advise everyone do not be fooled,negative
so far so good,positive
works great,positive
it clicks into place in a way that makes you wonder how long that mechanism would last,negative
i went on motorola's website and followed all directions but could not get it to pair again,negative
i bought this to use with my kindle fire and absolutely loved it,positive
the commercials are the most misleading,negative
i have yet to run this new battery below two bars and that's three days without charging,positive
i bought it for my mother and she had a problem with the battery,negative
great pocket pc / phone combination,positive
i've owned this phone for months now and can say that it's the best mobile phone i've had,positive
i didn't think that the instructions provided were helpful to me,negative
people couldnt hear me talk and i had to pull out the earphone and talk on the phone,negative
doesn't hold charge,negative
this is a simple little phone to use but the breakage is unacceptible,negative
this product is ideal for people like me whose ears are very sensitive,positive
it is unusable in a moving car at freeway speed,negative
i have two more years left in this contract and i hate this phone,negative
car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,positive
you need at least mins to get to your phone book from the time you first turn on the phonebattery life is short,negative
it has kept up very well,positive
poor talk time performance,negative
the case is great and works fine with the ,positive
worthless product,negative
it has a great camera thats mp and the pics are nice and clear with great picture quality,positive
i was not impressed by this product,negative
nice headset priced right,positive
i only hear garbage for audio,negative
excellent bluetooth headset,positive
it has all the features i want,positive
who in their right mind is gonna buy this battery,negative
after arguing with verizon regarding the dropped calls we returned the phones after two days,negative
this case seems well made,positive
disappointed with battery,negative
not loud enough and doesn't turn on like it should,negative
good protection and does not make phone too bulky,positive
a usable keyboard actually turns a pda into a real world useful machine instead of just a neat gadget,positive
this phone is pretty sturdy and i've never had any large problems with it,positive
i love this thing,positive
everything about it is fine and reasonable for the price ie,positive
very disappointed,negative
i even dropped this phone into a stream and it was submerged for seconds and it still works great,positive
i have been very happy with the and have had no complaints from any one regarding my sound quality on their end,positive
the buttons for on and off are bad,negative
essentially you can forget microsoft's tech support,negative
i really recommend this faceplates since it looks very nice elegant and cool,positive
these headphones were a great find and i think they are perhaps the best purchase i've made in the last several years seriously,positive
buy a different phone but not this,negative
you have to hold the phone at a particular angle for the other party to hear you clearly,negative
the one big drawback of the mp player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds,negative
a week later after i activated it it suddenly died,negative
it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,positive
great for ipods too,positive
this device is great in several situations,positive
mic doesn't work,negative
even in my bmw series which is fairly quiet i have trouble hearing what the other person is saying,negative
great choice,positive
nice docking station for home or work,positive
this is a beautiful phone,positive
love this product,positive
do not buy for d wrongly advertised for d ,negative
this is a great little item,positive
i love this phone it is very handy and has a lot of features ,positive
i purchased this and within days it was no longer working,negative
i wear it everyday and it holds up very well,positive
not a good bargain,negative
well packaged arrived on time and works as intended,positive
the battery runs down quickly,negative
